cache_line	l1d_Size	l1d_Assoc	l1i_Size	l1i_Assoc	l2_Size	l2_Assoc	leakage	dynamic	runtime	energy	Area	Peak_Power
128	128kB	4	64kB	4	4MB	8	1,485620	0,461769	0,339755	661,635150	33,7066	10,1681
128	128kB	8	64kB	4	4MB	8	1,509110	0,549161	0,339760	699,318155	33,9196	10,4211
128	64kB	4	64kB	4	4MB	8	1,347190	0,337343	0,339760	572,336932	31,1276	9,29813
128	64kB	8	64kB	4	4MB	8	1,479810	0,517141	0,339767	678,498050	34,341	10,3737
64	128kB	4	64kB	4	4MB	8	1,317380	0,195782	0,513244	776,621318	27,4054	4,96413
64	128kB	8	64kB	4	4MB	8	1,122570	0,226864	0,513271	692,625339	24,0463	4,96222
64	64kB	4	64kB	4	4MB	8	1,012880	0,168994	0,513251	606,598012	22,4952	4,41928
64	64kB	8	64kB	4	4MB	8	1,033540	0,229927	0,513274	648,504761	22,7958	4,66319
