cache_line	l1d_Size	l1d_Assoc	l1i_Size	l1i_Assoc	l2_Size	l2_Assoc	leakage	dynamic	runtime	energy	Area	Peak_Power
64	64kB	4	32kB	2	2MB	8	0,878176	0,397983	0,059387	75,787255	14,818	3,59803
64	64kB	4	32kB	2	4MB	8	0,883087	0,398643	0,059387	76,118100	21,1366	3,72314
64	64kB	4	32kB	4	2MB	8	0,957426	0,398013	0,059378	80,483257	15,5813	4,00347
64	64kB	4	32kB	4	4MB	8	0,962337	0,398661	0,059378	80,813339	21,9	4,12858
64	64kB	4	64kB	2	2MB	8	1,283060	0,398021	0,059371	99,807460	17,2098	4,59736
64	64kB	4	64kB	2	4MB	8	1,287980	0,398657	0,059371	100,137325	23,5284	4,72247
64	64kB	4	64kB	4	2MB	8	1,007970	0,398019	0,059371	83,474973	16,1765	4,29417
64	64kB	4	64kB	4	4MB	8	1,012880	0,398655	0,059371	83,804244	22,4952	4,41928
